"ID_REF"	"GSM101095"	"GSM101096"	"GSM101097"	"GSM101098"	"GSM101099"	"GSM101100"	"GSM101101"	"GSM101102"	"GSM101103"	"GSM101104"	"GSM101105"	"GSM101106"	"GSM101107"	"GSM101108"	"GSM101109"	"GSM101110"	"GSM101111"	"GSM101112"	"GSM101113"	"GSM101114"	"GSM101115"	"GSM101116"
"226875_at"	45.395477	301.345	122.647545	228.24442	49.272953	95.0251	145.18576	111.56956	178.64711	126.49531	49.405704	71.59264	311.68466	165.77524	230.96594	44.551044	513.59894	106.36462	84.09673	187.67247	101.76375	126.41197
"226876_at"	29.927448	49.359432	28.181393	21.533377	33.727417	27.482058	22.091305	30.119184	25.690718	25.833782	31.435032	23.433178	54.537056	88.899025	29.769989	30.771143	30.757273	31.037153	23.372265	30.531782	29.120033	27.96799
"226877_at"	212.53912	124.52194	202.81032	150.29506	105.94459	191.44208	139.48788	105.32493	92.66376	146.62898	185.78645	224.5201	85.5303	73.38511	93.48587	56.645676	174.48013	161.51292	150.07098	118.9479	178.17036	251.24731
"226878_at"	161.32251	201.48427	42.455673	87.415085	125.906235	72.48143	68.285805	94.20085	79.41738	73.67349	133.02896	63.37454	102.435356	161.66719	78.89673	48.33794	268.63068	79.811134	48.870186	59.13785	84.11719	54.76748
"226879_at"	176.56969	151.55757	113.092026	74.2936	107.44059	75.68868	82.07534	107.12404	152.12144	102.30215	76.329765	82.486595	181.67355	216.07974	130.47281	107.518906	195.9122	89.881	94.27608	101.753174	88.033165	55.99668
"226880_at"	890.23016	1714.377	1857.295	1448.0667	1480.207	1591.3778	2193.987	2013.3157	1920.555	2105.7273	3017.653	2823.1624	626.90137	526.36707	651.7848	646.79333	1962.808	2410.1174	1661.9116	2318.6694	2420.679	2780.809
"226881_at"	54.729523	106.70299	99.3419	153.8846	68.40326	104.17974	169.00851	145.38493	114.58553	98.41529	101.312744	101.312744	78.973434	56.880154	101.42353	52.354023	106.975494	80.80338	68.27282	101.21434	121.38142	108.897316
"226882_x_at"	54.59482	48.830368	38.83803	33.425587	52.42402	54.316975	33.200134	45.306557	38.175148	41.915424	47.63843	29.74673	43.852253	56.20408	41.72164	72.00505	27.344568	28.624495	42.491795	34.92041	40.535477	41.555458
"226883_at"	538.9189	735.296	658.66327	830.328	601.8488	676.3749	917.87177	891.93146	655.26624	656.64374	596.1529	614.6417	524.9619	466.61743	513.715	499.023	663.5052	621.8846	578.78186	693.06934	650.4175	764.33606
"226884_at"	61.47452	185.22308	114.70099	244.67245	91.173904	102.50469	235.945	180.83061	111.53669	151.02193	77.504395	117.830154	26.04219	24.860458	60.299583	154.51067	129.05861	239.08156	40.329887	71.77421	122.13782	111.22546
"226885_at"	12.154518	49.887333	47.35982	95.244705	17.744122	47.704628	57.98042	45.234283	52.679367	50.48302	41.120018	45.386845	39.706947	22.9379	29.588177	20.53806	75.278725	59.34763	34.786144	71.197395	66.09619	62.3199
"226886_at"	241.42075	422.9928	456.20813	455.25934	249.68681	474.7858	502.73477	574.72815	550.6325	410.49628	472.12384	520.8155	226.1862	161.06517	548.8772	306.51404	372.70026	354.78906	424.49307	550.02106	476.96597	482.3265
"226887_at"	125.07657	142.03342	160.49875	174.83183	111.06159	165.8445	201.50867	157.39023	174.64993	118.03704	152.98993	153.24496	123.28784	115.2937	148.53203	119.970024	124.799	155.90596	113.536606	133.55879	120.58577	131.57797
"226888_at"	360.7243	338.71887	439.97318	462.29703	339.39566	407.68515	492.59576	537.08	416.6977	356.2451	319.89383	396.92014	367.54895	260.37833	406.42776	348.8606	347.30838	392.10025	331.0249	367.51074	424.5518	411.40924
"226889_at"	325.43164	545.74255	603.4601	645.9633	303.47064	558.14636	649.1657	614.3652	551.8184	584.221	524.4345	665.58136	436.83124	292.29553	618.17236	368.8204	489.12024	587.3424	533.5221	613.587	583.8868	737.2128
"226890_at"	94.285965	131.99875	198.07274	192.12117	108.251045	113.93913	258.8959	229.48392	131.60545	228.08623	159.78462	208.89728	87.027626	56.04145	156.89388	120.16583	173.88777	221.77869	217.99329	256.1563	318.08893	314.1502
"226891_at"	72.89267	41.80572	53.819675	34.130157	50.74655	54.678238	45.668106	44.52864	41.30953	43.210148	41.149273	70.95933	57.43662	95.39028	83.56867	114.53986	49.662735	60.872635	40.18388	40.89583	64.092354	48.0853
"226892_at"	142.95312	166.5858	153.33539	179.87912	99.29365	175.51276	170.6827	148.14583	162.655	138.88896	151.9368	156.68709	109.02591	119.82841	174.31075	66.64328	156.01959	144.01897	112.16561	148.51653	152.52856	158.71227
"226893_at"	144.98692	196.62074	140.51823	217.69849	87.24843	154.5966	184.20059	193.104	154.6449	122.507324	140.97252	174.52274	211.09117	131.09024	196.0892	196.60715	161.26105	258.0033	171.78818	269.17218	258.87344	237.81142
"226894_at"	341.83078	931.26917	1253.618	1649.326	349.42398	789.91705	1312.3885	1118.1056	895.8247	1096.355	1111.9137	1004.46655	978.86017	267.4028	1262.5692	465.82422	1327.0458	1193.7035	1158.9202	1513.9282	1657.8773	1479.1791
"226895_at"	1302.2698	917.6972	1003.6656	861.6993	1195.1125	997.4147	742.9021	971.786	871.2629	1054.4438	968.62067	930.5909	824.7134	1149.2677	1159.0822	1420.9567	323.60138	590.5616	1148.3107	627.1516	456.224	559.59125
"226896_at"	521.3398	749.34985	707.8013	616.42596	722.95905	822.369	900.532	932.3853	956.99133	790.8087	920.55206	992.9076	657.6816	547.5069	767.1264	697.63074	691.0758	599.71204	904.46313	649.15454	668.6026	718.3694
"226897_s_at"	54.784615	109.22661	102.78794	75.06212	65.07978	72.52299	122.69656	99.599075	119.479576	117.8854	85.07583	111.774994	65.957535	40.83482	76.56328	49.090336	134.00208	149.52505	118.29939	146.5196	161.97043	167.60071
"226898_s_at"	16.2996	11.790737	18.698565	14.764969	15.967007	19.578556	15.235054	14.328274	15.7621765	15.285364	14.278635	19.10463	17.968786	18.159378	15.870863	15.551867	14.30095	13.621242	16.045338	17.233969	19.579227	32.11771
"226899_at"	136.05954	68.62911	106.335106	122.56242	142.74986	152.88893	104.69442	108.47851	83.029434	85.598595	133.64441	152.44385	129.38605	136.75069	107.41078	109.922516	120.96494	110.2282	96.32676	64.48394	93.67266	135.59749
"226900_at"	16.607985	12.423003	13.7862835	13.293371	13.804959	13.486701	12.541707	14.103777	14.277141	11.598345	13.689017	14.612027	22.933525	31.513689	27.774529	15.575638	12.177534	13.905951	17.575264	13.240415	13.125114	11.281119
"226901_at"	491.97183	510.6573	610.64453	689.4945	668.99744	687.09375	757.20636	716.60095	646.1198	493.05756	637.2335	632.6937	586.5065	452.64365	661.49316	563.50867	618.32214	494.9864	741.52356	596.981	532.87427	639.7489
"226902_at"	65.971275	62.79212	56.043373	84.444885	51.73087	55.76978	84.14936	74.80339	43.77699	46.647717	55.466724	90.725655	48.687355	52.565235	54.58818	36.4517	52.68031	52.00989	35.14841	33.11957	50.619007	50.424366
"226903_s_at"	52.581642	35.134987	35.237568	39.33045	48.375732	41.74988	31.903269	31.13102	30.960762	35.8868	35.89426	34.97195	53.703033	84.65909	41.700657	97.90427	26.286007	34.2964	46.1389	36.109188	34.20843	35.49288
"226904_at"	30.851898	28.983906	24.054937	21.203724	34.247032	24.734383	19.872948	19.522573	23.947483	21.29518	23.544464	19.606087	34.095837	52.738857	35.515686	48.84222	22.030434	20.952066	31.76627	25.307518	21.450209	25.629717
"226905_at"	24.805296	101.511635	36.76999	27.891897	36.175056	27.824203	23.832224	34.628326	20.67108	16.990162	19.659233	14.382831	37.262703	105.906	28.820896	27.023779	40.714546	30.510075	14.412564	50.471638	20.330256	17.924868
